Zone Name,Region,Population,Area Sq Km,Opened On,Is Active
Bulk Zone 0001,North,1001,1.5,2026-06-02,yes
Bulk Zone 0002,South,1002,2.5,2026-06-03,yes
Bulk Zone 0003,North,1003,3.5,2026-06-04,no
Bulk Zone 0004,South,1004,4.5,2026-06-05,yes
Bulk Zone 0005,North,1005,5.5,2026-06-06,yes
Bulk Zone 0006,South,1006,6.5,2026-06-07,no
Bulk Zone 0007,North,1007,7.5,2026-06-08,yes
Bulk Zone 0008,South,1008,8.5,2026-06-09,yes
Bulk Zone 0009,North,1009,9.5,2026-06-10,no
Bulk Zone 0010,South,1010,10.5,2026-06-11,yes
Bulk Zone 0011,North,1011,11.5,2026-06-12,yes
Bulk Zone 0012,South,1012,12.5,2026-06-13,no
Bulk Zone 0013,North,1013,13.5,2026-06-14,yes
Bulk Zone 0014,South,1014,14.5,2026-06-15,yes
Bulk Zone 0015,North,1015,15.5,2026-06-16,no
Bulk Zone 0016,South,1016,16.5,2026-06-17,yes
Bulk Zone 0017,North,1017,17.5,2026-06-18,yes
Bulk Zone 0018,South,1018,18.5,2026-06-19,no
Bulk Zone 0019,North,1019,19.5,2026-06-20,yes
Bulk Zone 0020,South,1020,20.5,2026-06-21,yes
Bulk Zone 0021,North,1021,21.5,2026-06-22,no
Bulk Zone 0022,South,1022,22.5,2026-06-23,yes
Bulk Zone 0023,North,1023,23.5,2026-06-24,yes
Bulk Zone 0024,South,1024,24.5,2026-06-25,no
Bulk Zone 0025,North,1025,25.5,2026-06-26,yes
Bulk Zone 0026,South,1026,26.5,2026-06-27,yes
Bulk Zone 0027,North,1027,27.5,2026-06-28,no
Bulk Zone 0028,South,1028,28.5,2026-06-01,yes
Bulk Zone 0029,North,1029,29.5,2026-06-02,yes
Bulk Zone 0030,South,1030,30.5,2026-06-03,no
Bulk Zone 0031,North,1031,31.5,2026-06-04,yes
Bulk Zone 0032,South,1032,32.5,2026-06-05,yes
Bulk Zone 0033,North,1033,33.5,2026-06-06,no
Bulk Zone 0034,South,1034,34.5,2026-06-07,yes
Bulk Zone 0035,North,1035,35.5,2026-06-08,yes
Bulk Zone 0036,South,1036,36.5,2026-06-09,no
Bulk Zone 0037,North,1037,37.5,2026-06-10,yes
Bulk Zone 0038,South,1038,38.5,2026-06-11,yes
Bulk Zone 0039,North,1039,39.5,2026-06-12,no
Bulk Zone 0040,South,1040,40.5,2026-06-13,yes
Bulk Zone 0041,North,1041,41.5,2026-06-14,yes
Bulk Zone 0042,South,1042,42.5,2026-06-15,no
Bulk Zone 0043,North,1043,43.5,2026-06-16,yes
Bulk Zone 0044,South,1044,44.5,2026-06-17,yes
Bulk Zone 0045,North,1045,45.5,2026-06-18,no
Bulk Zone 0046,South,1046,46.5,2026-06-19,yes
Bulk Zone 0047,North,1047,47.5,2026-06-20,yes
Bulk Zone 0048,South,1048,48.5,2026-06-21,no
Bulk Zone 0049,North,1049,49.5,2026-06-22,yes
Bulk Zone 0050,South,1050,50.5,2026-06-23,yes
Bulk Zone 0051,North,1051,51.5,2026-06-24,no
Bulk Zone 0052,South,1052,52.5,2026-06-25,yes
Bulk Zone 0053,North,1053,53.5,2026-06-26,yes
Bulk Zone 0054,South,1054,54.5,2026-06-27,no
Bulk Zone 0055,North,1055,55.5,2026-06-28,yes
Bulk Zone 0056,South,1056,56.5,2026-06-01,yes
Bulk Zone 0057,North,1057,57.5,2026-06-02,no
Bulk Zone 0058,South,1058,58.5,2026-06-03,yes
Bulk Zone 0059,North,1059,59.5,2026-06-04,yes
Bulk Zone 0060,South,1060,60.5,2026-06-05,no
Bulk Zone 0061,North,1061,61.5,2026-06-06,yes
Bulk Zone 0062,South,1062,62.5,2026-06-07,yes
Bulk Zone 0063,North,1063,63.5,2026-06-08,no
Bulk Zone 0064,South,1064,64.5,2026-06-09,yes
Bulk Zone 0065,North,1065,65.5,2026-06-10,yes
Bulk Zone 0066,South,1066,66.5,2026-06-11,no
Bulk Zone 0067,North,1067,67.5,2026-06-12,yes
Bulk Zone 0068,South,1068,68.5,2026-06-13,yes
Bulk Zone 0069,North,1069,69.5,2026-06-14,no
Bulk Zone 0070,South,1070,70.5,2026-06-15,yes
Bulk Zone 0071,North,1071,71.5,2026-06-16,yes
Bulk Zone 0072,South,1072,72.5,2026-06-17,no
Bulk Zone 0073,North,1073,73.5,2026-06-18,yes
Bulk Zone 0074,South,1074,74.5,2026-06-19,yes
Bulk Zone 0075,North,1075,75.5,2026-06-20,no
Bulk Zone 0076,South,1076,76.5,2026-06-21,yes
Bulk Zone 0077,North,1077,77.5,2026-06-22,yes
Bulk Zone 0078,South,1078,78.5,2026-06-23,no
Bulk Zone 0079,North,1079,79.5,2026-06-24,yes
Bulk Zone 0080,South,1080,80.5,2026-06-25,yes
Bulk Zone 0081,North,1081,81.5,2026-06-26,no
Bulk Zone 0082,South,1082,82.5,2026-06-27,yes
Bulk Zone 0083,North,1083,83.5,2026-06-28,yes
Bulk Zone 0084,South,1084,84.5,2026-06-01,no
Bulk Zone 0085,North,1085,85.5,2026-06-02,yes
Bulk Zone 0086,South,1086,86.5,2026-06-03,yes
Bulk Zone 0087,North,1087,87.5,2026-06-04,no
Bulk Zone 0088,South,1088,88.5,2026-06-05,yes
Bulk Zone 0089,North,1089,89.5,2026-06-06,yes
Bulk Zone 0090,South,1090,0.5,2026-06-07,no
Bulk Zone 0091,North,1091,1.5,2026-06-08,yes
Bulk Zone 0092,South,1092,2.5,2026-06-09,yes
Bulk Zone 0093,North,1093,3.5,2026-06-10,no
Bulk Zone 0094,South,1094,4.5,2026-06-11,yes
Bulk Zone 0095,North,1095,5.5,2026-06-12,yes
Bulk Zone 0096,South,1096,6.5,2026-06-13,no
Bulk Zone 0097,North,1097,7.5,2026-06-14,yes
Bulk Zone 0098,South,1098,8.5,2026-06-15,yes
Bulk Zone 0099,North,1099,9.5,2026-06-16,no
Bulk Zone 0100,South,1100,10.5,2026-06-17,yes
Bulk Zone 0101,North,1101,11.5,2026-06-18,yes
Bulk Zone 0102,South,1102,12.5,2026-06-19,no
Bulk Zone 0103,North,1103,13.5,2026-06-20,yes
Bulk Zone 0104,South,1104,14.5,2026-06-21,yes
Bulk Zone 0105,North,1105,15.5,2026-06-22,no
Bulk Zone 0106,South,1106,16.5,2026-06-23,yes
Bulk Zone 0107,North,1107,17.5,2026-06-24,yes
Bulk Zone 0108,South,1108,18.5,2026-06-25,no
Bulk Zone 0109,North,1109,19.5,2026-06-26,yes
Bulk Zone 0110,South,1110,20.5,2026-06-27,yes
Bulk Zone 0111,North,1111,21.5,2026-06-28,no
Bulk Zone 0112,South,1112,22.5,2026-06-01,yes
Bulk Zone 0113,North,1113,23.5,2026-06-02,yes
Bulk Zone 0114,South,1114,24.5,2026-06-03,no
Bulk Zone 0115,North,1115,25.5,2026-06-04,yes
Bulk Zone 0116,South,1116,26.5,2026-06-05,yes
Bulk Zone 0117,North,1117,27.5,2026-06-06,no
Bulk Zone 0118,South,1118,28.5,2026-06-07,yes
Bulk Zone 0119,North,1119,29.5,2026-06-08,yes
Bulk Zone 0120,South,1120,30.5,2026-06-09,no
Bulk Zone 0121,North,1121,31.5,2026-06-10,yes
Bulk Zone 0122,South,1122,32.5,2026-06-11,yes
Bulk Zone 0123,North,1123,33.5,2026-06-12,no
Bulk Zone 0124,South,1124,34.5,2026-06-13,yes
Bulk Zone 0125,North,1125,35.5,2026-06-14,yes
Bulk Zone 0126,South,1126,36.5,2026-06-15,no
Bulk Zone 0127,North,1127,37.5,2026-06-16,yes
Bulk Zone 0128,South,1128,38.5,2026-06-17,yes
Bulk Zone 0129,North,1129,39.5,2026-06-18,no
Bulk Zone 0130,South,1130,40.5,2026-06-19,yes
Bulk Zone 0131,North,1131,41.5,2026-06-20,yes
Bulk Zone 0132,South,1132,42.5,2026-06-21,no
Bulk Zone 0133,North,1133,43.5,2026-06-22,yes
Bulk Zone 0134,South,1134,44.5,2026-06-23,yes
Bulk Zone 0135,North,1135,45.5,2026-06-24,no
Bulk Zone 0136,South,1136,46.5,2026-06-25,yes
Bulk Zone 0137,North,1137,47.5,2026-06-26,yes
Bulk Zone 0138,South,1138,48.5,2026-06-27,no
Bulk Zone 0139,North,1139,49.5,2026-06-28,yes
Bulk Zone 0140,South,1140,50.5,2026-06-01,yes
Bulk Zone 0141,North,1141,51.5,2026-06-02,no
Bulk Zone 0142,South,1142,52.5,2026-06-03,yes
Bulk Zone 0143,North,1143,53.5,2026-06-04,yes
Bulk Zone 0144,South,1144,54.5,2026-06-05,no
Bulk Zone 0145,North,1145,55.5,2026-06-06,yes
Bulk Zone 0146,South,1146,56.5,2026-06-07,yes
Bulk Zone 0147,North,1147,57.5,2026-06-08,no
Bulk Zone 0148,South,1148,58.5,2026-06-09,yes
Bulk Zone 0149,North,1149,59.5,2026-06-10,yes
Bulk Zone 0150,South,1150,60.5,2026-06-11,no
Bulk Zone 0151,North,1151,61.5,2026-06-12,yes
Bulk Zone 0152,South,1152,62.5,2026-06-13,yes
Bulk Zone 0153,North,1153,63.5,2026-06-14,no
Bulk Zone 0154,South,1154,64.5,2026-06-15,yes
Bulk Zone 0155,North,1155,65.5,2026-06-16,yes
Bulk Zone 0156,South,1156,66.5,2026-06-17,no
Bulk Zone 0157,North,1157,67.5,2026-06-18,yes
Bulk Zone 0158,South,1158,68.5,2026-06-19,yes
Bulk Zone 0159,North,1159,69.5,2026-06-20,no
Bulk Zone 0160,South,1160,70.5,2026-06-21,yes
Bulk Zone 0161,North,1161,71.5,2026-06-22,yes
Bulk Zone 0162,South,1162,72.5,2026-06-23,no
Bulk Zone 0163,North,1163,73.5,2026-06-24,yes
Bulk Zone 0164,South,1164,74.5,2026-06-25,yes
Bulk Zone 0165,North,1165,75.5,2026-06-26,no
Bulk Zone 0166,South,1166,76.5,2026-06-27,yes
Bulk Zone 0167,North,1167,77.5,2026-06-28,yes
Bulk Zone 0168,South,1168,78.5,2026-06-01,no
Bulk Zone 0169,North,1169,79.5,2026-06-02,yes
Bulk Zone 0170,South,1170,80.5,2026-06-03,yes
Bulk Zone 0171,North,1171,81.5,2026-06-04,no
Bulk Zone 0172,South,1172,82.5,2026-06-05,yes
Bulk Zone 0173,North,1173,83.5,2026-06-06,yes
Bulk Zone 0174,South,1174,84.5,2026-06-07,no
Bulk Zone 0175,North,1175,85.5,2026-06-08,yes
Bulk Zone 0176,South,1176,86.5,2026-06-09,yes
Bulk Zone 0177,North,1177,87.5,2026-06-10,no
Bulk Zone 0178,South,1178,88.5,2026-06-11,yes
Bulk Zone 0179,North,1179,89.5,2026-06-12,yes
Bulk Zone 0180,South,1180,0.5,2026-06-13,no
Bulk Zone 0181,North,1181,1.5,2026-06-14,yes
Bulk Zone 0182,South,1182,2.5,2026-06-15,yes
Bulk Zone 0183,North,1183,3.5,2026-06-16,no
Bulk Zone 0184,South,1184,4.5,2026-06-17,yes
Bulk Zone 0185,North,1185,5.5,2026-06-18,yes
Bulk Zone 0186,South,1186,6.5,2026-06-19,no
Bulk Zone 0187,North,1187,7.5,2026-06-20,yes
Bulk Zone 0188,South,1188,8.5,2026-06-21,yes
Bulk Zone 0189,North,1189,9.5,2026-06-22,no
Bulk Zone 0190,South,1190,10.5,2026-06-23,yes
Bulk Zone 0191,North,1191,11.5,2026-06-24,yes
Bulk Zone 0192,South,1192,12.5,2026-06-25,no
Bulk Zone 0193,North,1193,13.5,2026-06-26,yes
Bulk Zone 0194,South,1194,14.5,2026-06-27,yes
Bulk Zone 0195,North,1195,15.5,2026-06-28,no
Bulk Zone 0196,South,1196,16.5,2026-06-01,yes
Bulk Zone 0197,North,1197,17.5,2026-06-02,yes
Bulk Zone 0198,South,1198,18.5,2026-06-03,no
Bulk Zone 0199,North,1199,19.5,2026-06-04,yes
Bulk Zone 0200,South,1200,20.5,2026-06-05,yes
Bulk Zone 0201,North,1201,21.5,2026-06-06,no
Bulk Zone 0202,South,1202,22.5,2026-06-07,yes
Bulk Zone 0203,North,1203,23.5,2026-06-08,yes
Bulk Zone 0204,South,1204,24.5,2026-06-09,no
Bulk Zone 0205,North,1205,25.5,2026-06-10,yes
Bulk Zone 0206,South,1206,26.5,2026-06-11,yes
Bulk Zone 0207,North,1207,27.5,2026-06-12,no
Bulk Zone 0208,South,1208,28.5,2026-06-13,yes
Bulk Zone 0209,North,1209,29.5,2026-06-14,yes
Bulk Zone 0210,South,1210,30.5,2026-06-15,no
Bulk Zone 0211,North,1211,31.5,2026-06-16,yes
Bulk Zone 0212,South,1212,32.5,2026-06-17,yes
Bulk Zone 0213,North,1213,33.5,2026-06-18,no
Bulk Zone 0214,South,1214,34.5,2026-06-19,yes
Bulk Zone 0215,North,1215,35.5,2026-06-20,yes
Bulk Zone 0216,South,1216,36.5,2026-06-21,no
Bulk Zone 0217,North,1217,37.5,2026-06-22,yes
Bulk Zone 0218,South,1218,38.5,2026-06-23,yes
Bulk Zone 0219,North,1219,39.5,2026-06-24,no
Bulk Zone 0220,South,1220,40.5,2026-06-25,yes
Bulk Zone 0221,North,1221,41.5,2026-06-26,yes
Bulk Zone 0222,South,1222,42.5,2026-06-27,no
Bulk Zone 0223,North,1223,43.5,2026-06-28,yes
Bulk Zone 0224,South,1224,44.5,2026-06-01,yes
Bulk Zone 0225,North,1225,45.5,2026-06-02,no
Bulk Zone 0226,South,1226,46.5,2026-06-03,yes
Bulk Zone 0227,North,1227,47.5,2026-06-04,yes
Bulk Zone 0228,South,1228,48.5,2026-06-05,no
Bulk Zone 0229,North,1229,49.5,2026-06-06,yes
Bulk Zone 0230,South,1230,50.5,2026-06-07,yes
Bulk Zone 0231,North,1231,51.5,2026-06-08,no
Bulk Zone 0232,South,1232,52.5,2026-06-09,yes
Bulk Zone 0233,North,1233,53.5,2026-06-10,yes
Bulk Zone 0234,South,1234,54.5,2026-06-11,no
Bulk Zone 0235,North,1235,55.5,2026-06-12,yes
Bulk Zone 0236,South,1236,56.5,2026-06-13,yes
Bulk Zone 0237,North,1237,57.5,2026-06-14,no
Bulk Zone 0238,South,1238,58.5,2026-06-15,yes
Bulk Zone 0239,North,1239,59.5,2026-06-16,yes
Bulk Zone 0240,South,1240,60.5,2026-06-17,no
Bulk Zone 0241,North,1241,61.5,2026-06-18,yes
Bulk Zone 0242,South,1242,62.5,2026-06-19,yes
Bulk Zone 0243,North,1243,63.5,2026-06-20,no
Bulk Zone 0244,South,1244,64.5,2026-06-21,yes
Bulk Zone 0245,North,1245,65.5,2026-06-22,yes
Bulk Zone 0246,South,1246,66.5,2026-06-23,no
Bulk Zone 0247,North,1247,67.5,2026-06-24,yes
Bulk Zone 0248,South,1248,68.5,2026-06-25,yes
Bulk Zone 0249,North,1249,69.5,2026-06-26,no
Bulk Zone 0250,South,1250,70.5,2026-06-27,yes
Bulk Zone 0251,North,1251,71.5,2026-06-28,yes
Bulk Zone 0252,South,1252,72.5,2026-06-01,no
Bulk Zone 0253,North,1253,73.5,2026-06-02,yes
Bulk Zone 0254,South,1254,74.5,2026-06-03,yes
Bulk Zone 0255,North,1255,75.5,2026-06-04,no
Bulk Zone 0256,South,1256,76.5,2026-06-05,yes
Bulk Zone 0257,North,1257,77.5,2026-06-06,yes
Bulk Zone 0258,South,1258,78.5,2026-06-07,no
Bulk Zone 0259,North,1259,79.5,2026-06-08,yes
Bulk Zone 0260,South,1260,80.5,2026-06-09,yes
Bulk Zone 0261,North,1261,81.5,2026-06-10,no
Bulk Zone 0262,South,1262,82.5,2026-06-11,yes
Bulk Zone 0263,North,1263,83.5,2026-06-12,yes
Bulk Zone 0264,South,1264,84.5,2026-06-13,no
Bulk Zone 0265,North,1265,85.5,2026-06-14,yes
Bulk Zone 0266,South,1266,86.5,2026-06-15,yes
Bulk Zone 0267,North,1267,87.5,2026-06-16,no
Bulk Zone 0268,South,1268,88.5,2026-06-17,yes
Bulk Zone 0269,North,1269,89.5,2026-06-18,yes
Bulk Zone 0270,South,1270,0.5,2026-06-19,no
Bulk Zone 0271,North,1271,1.5,2026-06-20,yes
Bulk Zone 0272,South,1272,2.5,2026-06-21,yes
Bulk Zone 0273,North,1273,3.5,2026-06-22,no
Bulk Zone 0274,South,1274,4.5,2026-06-23,yes
Bulk Zone 0275,North,1275,5.5,2026-06-24,yes
Bulk Zone 0276,South,1276,6.5,2026-06-25,no
Bulk Zone 0277,North,1277,7.5,2026-06-26,yes
Bulk Zone 0278,South,1278,8.5,2026-06-27,yes
Bulk Zone 0279,North,1279,9.5,2026-06-28,no
Bulk Zone 0280,South,1280,10.5,2026-06-01,yes
Bulk Zone 0281,North,1281,11.5,2026-06-02,yes
Bulk Zone 0282,South,1282,12.5,2026-06-03,no
Bulk Zone 0283,North,1283,13.5,2026-06-04,yes
Bulk Zone 0284,South,1284,14.5,2026-06-05,yes
Bulk Zone 0285,North,1285,15.5,2026-06-06,no
Bulk Zone 0286,South,1286,16.5,2026-06-07,yes
Bulk Zone 0287,North,1287,17.5,2026-06-08,yes
Bulk Zone 0288,South,1288,18.5,2026-06-09,no
Bulk Zone 0289,North,1289,19.5,2026-06-10,yes
Bulk Zone 0290,South,1290,20.5,2026-06-11,yes
Bulk Zone 0291,North,1291,21.5,2026-06-12,no
Bulk Zone 0292,South,1292,22.5,2026-06-13,yes
Bulk Zone 0293,North,1293,23.5,2026-06-14,yes
Bulk Zone 0294,South,1294,24.5,2026-06-15,no
Bulk Zone 0295,North,1295,25.5,2026-06-16,yes
Bulk Zone 0296,South,1296,26.5,2026-06-17,yes
Bulk Zone 0297,North,1297,27.5,2026-06-18,no
Bulk Zone 0298,South,1298,28.5,2026-06-19,yes
Bulk Zone 0299,North,1299,29.5,2026-06-20,yes
Bulk Zone 0300,South,1300,30.5,2026-06-21,no
Bulk Zone 0301,North,1301,31.5,2026-06-22,yes
Bulk Zone 0302,South,1302,32.5,2026-06-23,yes
Bulk Zone 0303,North,1303,33.5,2026-06-24,no
Bulk Zone 0304,South,1304,34.5,2026-06-25,yes
Bulk Zone 0305,North,1305,35.5,2026-06-26,yes
Bulk Zone 0306,South,1306,36.5,2026-06-27,no
Bulk Zone 0307,North,1307,37.5,2026-06-28,yes
Bulk Zone 0308,South,1308,38.5,2026-06-01,yes
Bulk Zone 0309,North,1309,39.5,2026-06-02,no
Bulk Zone 0310,South,1310,40.5,2026-06-03,yes
Bulk Zone 0311,North,1311,41.5,2026-06-04,yes
Bulk Zone 0312,South,1312,42.5,2026-06-05,no
Bulk Zone 0313,North,1313,43.5,2026-06-06,yes
Bulk Zone 0314,South,1314,44.5,2026-06-07,yes
Bulk Zone 0315,North,1315,45.5,2026-06-08,no
Bulk Zone 0316,South,1316,46.5,2026-06-09,yes
Bulk Zone 0317,North,1317,47.5,2026-06-10,yes
Bulk Zone 0318,South,1318,48.5,2026-06-11,no
Bulk Zone 0319,North,1319,49.5,2026-06-12,yes
Bulk Zone 0320,South,1320,50.5,2026-06-13,yes
Bulk Zone 0321,North,1321,51.5,2026-06-14,no
Bulk Zone 0322,South,1322,52.5,2026-06-15,yes
Bulk Zone 0323,North,1323,53.5,2026-06-16,yes
Bulk Zone 0324,South,1324,54.5,2026-06-17,no
Bulk Zone 0325,North,1325,55.5,2026-06-18,yes
Bulk Zone 0326,South,1326,56.5,2026-06-19,yes
Bulk Zone 0327,North,1327,57.5,2026-06-20,no
Bulk Zone 0328,South,1328,58.5,2026-06-21,yes
Bulk Zone 0329,North,1329,59.5,2026-06-22,yes
Bulk Zone 0330,South,1330,60.5,2026-06-23,no
Bulk Zone 0331,North,1331,61.5,2026-06-24,yes
Bulk Zone 0332,South,1332,62.5,2026-06-25,yes
Bulk Zone 0333,North,1333,63.5,2026-06-26,no
Bulk Zone 0334,South,1334,64.5,2026-06-27,yes
Bulk Zone 0335,North,1335,65.5,2026-06-28,yes
Bulk Zone 0336,South,1336,66.5,2026-06-01,no
Bulk Zone 0337,North,1337,67.5,2026-06-02,yes
Bulk Zone 0338,South,1338,68.5,2026-06-03,yes
Bulk Zone 0339,North,1339,69.5,2026-06-04,no
Bulk Zone 0340,South,1340,70.5,2026-06-05,yes
Bulk Zone 0341,North,1341,71.5,2026-06-06,yes
Bulk Zone 0342,South,1342,72.5,2026-06-07,no
Bulk Zone 0343,North,1343,73.5,2026-06-08,yes
Bulk Zone 0344,South,1344,74.5,2026-06-09,yes
Bulk Zone 0345,North,1345,75.5,2026-06-10,no
Bulk Zone 0346,South,1346,76.5,2026-06-11,yes
Bulk Zone 0347,North,1347,77.5,2026-06-12,yes
Bulk Zone 0348,South,1348,78.5,2026-06-13,no
Bulk Zone 0349,North,1349,79.5,2026-06-14,yes
Bulk Zone 0350,South,1350,80.5,2026-06-15,yes
Bulk Zone 0351,North,1351,81.5,2026-06-16,no
Bulk Zone 0352,South,1352,82.5,2026-06-17,yes
Bulk Zone 0353,North,1353,83.5,2026-06-18,yes
Bulk Zone 0354,South,1354,84.5,2026-06-19,no
Bulk Zone 0355,North,1355,85.5,2026-06-20,yes
Bulk Zone 0356,South,1356,86.5,2026-06-21,yes
Bulk Zone 0357,North,1357,87.5,2026-06-22,no
Bulk Zone 0358,South,1358,88.5,2026-06-23,yes
Bulk Zone 0359,North,1359,89.5,2026-06-24,yes
Bulk Zone 0360,South,1360,0.5,2026-06-25,no
Bulk Zone 0361,North,1361,1.5,2026-06-26,yes
Bulk Zone 0362,South,1362,2.5,2026-06-27,yes
Bulk Zone 0363,North,1363,3.5,2026-06-28,no
Bulk Zone 0364,South,1364,4.5,2026-06-01,yes
Bulk Zone 0365,North,1365,5.5,2026-06-02,yes
Bulk Zone 0366,South,1366,6.5,2026-06-03,no
Bulk Zone 0367,North,1367,7.5,2026-06-04,yes
Bulk Zone 0368,South,1368,8.5,2026-06-05,yes
Bulk Zone 0369,North,1369,9.5,2026-06-06,no
Bulk Zone 0370,South,1370,10.5,2026-06-07,yes
Bulk Zone 0371,North,1371,11.5,2026-06-08,yes
Bulk Zone 0372,South,1372,12.5,2026-06-09,no
Bulk Zone 0373,North,1373,13.5,2026-06-10,yes
Bulk Zone 0374,South,1374,14.5,2026-06-11,yes
Bulk Zone 0375,North,1375,15.5,2026-06-12,no
Bulk Zone 0376,South,1376,16.5,2026-06-13,yes
Bulk Zone 0377,North,1377,17.5,2026-06-14,yes
