id,shape,strategy,static_link,verdict,issue,stamped
UPS-J1,sequence,browser walk,apps/web/e2e/import-upsert-journey.spec.ts,"conditionally-proven — full walk: list-view entry preselects, key control labelled+keyboard-reachable (getByLabel), preview counts before commit, empty-cells appears only with a key and defaults keep, rehearse writes nothing, completion counts separate, still 8 rows with ids kept, log carries updated/inserted, R5 suggestion on re-entry; caveat: J1.4's per-ROW actions are witnessed at the contract tier (dry_run actions[]) — the wizard shows action COUNTS plus per-row failures, not a per-row action list",,2026-08-05
UPS-J2,sequence,browser walk,apps/web/e2e/import-upsert-journey.spec.ts,"proven — append path: Row ID accepts the mapping, REF codes land verbatim, collision fails named by true row, series continues for the code-less row; branch second half: Row ID as match key turns the collision into an in-place update. Create path (field: naming) pre-existed and was not re-walked",,2026-08-05
UPS-R1,contract,api,apps/server/test/import-upsert.test.ts; apps/web/e2e/import-upsert-journey.spec.ts,"proven — keyless byte-for-byte; keyed counts separate in response and log; updates versioned via full lifecycle; whole-request refusal for create-only, write-only, and own-rows callers (per matched row, before any write); action-aware dry_run writes nothing and logs nothing; argument validation (bad key, orphan empty_cells, clear without columns)",,2026-08-05
UPS-R2,rule,examples + property,apps/server/test/import-upsert.test.ts; apps/web/test/import-upsert-split.test.ts; apps/web/e2e/import-upsert-journey.spec.ts,"proven — example table row-for-row; fast-check property over hostile files via dry_run (25 runs, pointwise + arithmetic); DB-not-chunk resolution proven across two requests; wizard pre-chunk duplicate gate proven by exhaustive 1024-file sweep (fast-check in web blocked on the git-dep lockfile — deterministic sweep instead)",,2026-08-05
UPS-R3,rule,examples + property,apps/server/test/import-upsert.test.ts,"proven — examples: unmapped survive, new values land, empty+keep survives, empty+clear clears (never-mapped columns out of reach); model-based property over mapped/absent × keep/clear (12 runs); id-change-via-upsert refused loudly (named row). Note: 'clear' required a `columns` request argument (the run's mapped set) the spec did not enumerate — flagged for ratification in the retrospective",,2026-08-05
UPS-R4,contract,api + browser,apps/server/test/import-upsert.test.ts; apps/web/e2e/import-upsert-journey.spec.ts,"proven — supplied ids verbatim (charset incl. slash+space), series not consumed, mixing continues the series, collision branches both ways. Engine change: resolveName now adopts supplied ids on generated-id Tables ('prompt'/'field:' unchanged) — before it, dry run ACCEPTED what the real import refused (NotFound), a latent rehearsal/run disagreement the ruling resolved",,2026-08-05
UPS-R5,contract,api + browser,apps/server/test/import-upsert.test.ts; apps/web/e2e/import-upsert-journey.spec.ts,"proven — keyed run stores key_column+empty_cells in its log rows, keyless run stores nothing and does not erase the memory; wizard pre-fills the newest keyed pair as a visible ""Match on Zone Name, as last time"" suggestion, confirmed in a fresh visit; no Import Log read grant → no suggestion (fails soft)",,2026-08-05
UPS-I1,invariant,reconciliation,apps/server/test/import-upsert.test.ts; apps/web/e2e/import-upsert-journey.spec.ts,"proven at request scope — |request| = updated+inserted+failed with failures named by index, mixed-action runs included; dropped-blank stays a wizard-tier term (coerceRows). True-spreadsheet-row naming inherits #115's pin (import-invariants.test.ts, untouched)",#115,2026-08-05
UPS-I2,invariant,reconciliation,apps/server/test/import-upsert.test.ts,proven — count unchanged and absent rows byte-identical (updated_at included) after a partial-file upsert; no sync mode exists,,2026-08-05
UPS-I3,invariant,reconciliation,apps/server/test/import-upsert.test.ts,"proven — second identical run: all matched, zero inserted, zero failures, values identical, and the version trail recorded NOTHING (recordVersion skips no-op updates) — zero value changes proven structurally. Concurrent upserts serialize on the row lock (engine behaviour, witnessed not re-specified)",,2026-08-05
UPS-H1,hazard,decision,apps/server/test/import-upsert.test.ts; apps/web/e2e/import-typed-confirmation.spec.ts,"closed 2026-08-11 — the fourth mitigation shipped as spec 0005's import revert (run-scoped undo replaying the version trail: docs/specs/0005-import-revert.md, evidence import-revert.csv RVT-H1); the general IMP-R13 undo remains a framework concern, but this hazard's import-run scope is fully disarmed; typed-back confirmation above CONFIRM_UPDATES_OVER (20) shipped and walked 2026-08-11: the guard blocks with the seeded values intact, a wrong number keeps it disabled, the exact number proceeds",,2026-08-11
Q1,question,decision,,graduated 2026-08-05 → UPS-R2 (both failed named),,2026-08-05
Q2,question,decision,,graduated 2026-08-05 → UPS-R2 (failed with count),,2026-08-05
Q3,question,decision,,graduated 2026-08-05 → UPS-R3 (per-run explicit choice; default keep),,2026-08-05
Q4,question,decision,,graduated 2026-08-05 → UPS-H1 + IMP-R13 (undo replays the version trail),,2026-08-05
Q5,question,decision,,graduated 2026-08-05 → UPS-R5 (remembered as a visible suggestion),,2026-08-05
