id,shape,strategy,static_link,verdict,issue,stamped
RVT-J1,sequence,browser walk,apps/web/e2e/import-revert-journey.spec.ts,"conditionally-proven — full walk via the history strip (J1.1's second entry point): rehearsal counts before commit, edited row skipped and NAMED, run's insert deleted, bystander untouched, escalation restores the run's before-value and the later edit loses by explicit choice, log records the revert; caveat: the completion-panel variant renders the SAME RevertControl but was not separately walked (single-sheet imports auto-navigate away, the ratified IMP/UPS walk)",,2026-08-11
RVT-R1,contract,api,"apps/server/test/import-revert.test.ts; apps/web/e2e/import-revert-journey.spec.ts","proven — log rows carry run_id + touched {name, action, stamp, version?}; the update's version pointer set exactly when a version row was born this request; dry runs record nothing (IMP-I3 intact)",,2026-08-11
RVT-R2,contract,api,"apps/server/test/import-revert.test.ts; apps/web/e2e/import-revert-journey.spec.ts","proven — dry_run reports the plan and writes nothing; unknown run_id 404s; override naming an unwritten row 417s; whole-run resolution across parts; reverted_at recorded",,2026-08-11
RVT-R3,rule,examples,apps/server/test/import-revert.test.ts,"proven at contract tier for restore / unchanged / already-gone / row-deleted; **rule-tier only** for no-version-trail — the API offers no way to set track_changes:false today, so that state is unreachable end-to-end and is proven against the exported pure planRevert (flagged as a discovered gap in the PR)",,2026-08-11
RVT-R4,rule,examples,"apps/server/test/import-revert.test.ts; apps/web/e2e/import-revert-journey.spec.ts","proven — stamp match proceeds; edited-after skipped and named; override wins on a second act and the destroyed edit is itself versioned; concurrent-edit window closed by expectUpdatedAt/updated_at optimistic stamps at write time",,2026-08-11
RVT-R5,contract,browser,apps/web/e2e/import-revert-journey.spec.ts,"proven — the escalation exists only after a report naming the skips, sends override with exactly those names; no force-everything flag exists on the first pass (no such control is rendered)",,2026-08-11
RVT-R6,contract,api,apps/server/test/import-revert.test.ts,"proven — write-only caller with deletes in the run refused whole (403), nothing written including the restorable rows; write-scope restores exercised throughout by admin runs",,2026-08-11
RVT-I1,invariant,reconciliation,apps/server/test/import-revert.test.ts,"proven — |recorded| = restored + deleted + skipped + failed asserted on mixed runs; every skip named with row id + reason",,2026-08-11
RVT-I2,invariant,reconciliation,"apps/server/test/import-revert.test.ts; apps/web/e2e/import-revert-journey.spec.ts","proven — bystander rows byte-identical (updated_at included) after revert; no Table deletion surface exists in the action (ruled 2026-08-11)",,2026-08-11
RVT-I3,invariant,reconciliation,apps/server/test/import-revert.test.ts,"proven — second identical revert: zero restored, zero deleted, all skips named (edited-after for restored rows — their stamps moved — and already-gone for deleted ones), table state identical",,2026-08-11
RVT-H1,hazard,decision,"apps/server/test/import-revert.test.ts; apps/web/e2e/import-revert-journey.spec.ts","closed — the override exists only as a second explicit act over named rows; each destroyed edit is versioned (proven: the overridden 99999 edit was recoverable in the trail); the rehearsal names every row before commit",,2026-08-11
Q-ratify-r6,question,decision,,graduated 2026-08-11 → RVT-R6 (row permissions alone decide who may revert),,2026-08-11
Q-ratify-i2,question,decision,,graduated 2026-08-11 → RVT-I2 (a revert never deletes a Table),,2026-08-11
