id,shape,strategy,static_link,verdict,issue,stamped
CONN-J1,sequence,browser walk,,gap — spec'd 2026-08-11; nothing implements it (prototype on branch claude/vms-database-connection-test-e19799 is a mock and is not evidence),,2026-08-11
CONN-J2,sequence,browser walk,,gap — spec'd 2026-08-11; depends on R8,,2026-08-11
CONN-R1,contract,api,,gap — encrypted credential storage not built; CREDENTIALS_KEY does not exist yet,,2026-08-11
CONN-R2,rule,properties,,gap — sync behaviour demonstrated in the prototype only; no production code or tests,,2026-08-11
CONN-R3,rule,properties,,gap — engine-driven form demonstrated in the prototype only,,2026-08-11
CONN-R4,contract,api + browser,,gap — test_connection currently returns a single ok/error with a raw driver message,,2026-08-11
CONN-R5,contract,api,,gap — no database-listing action exists,,2026-08-11
CONN-R6,contract,api,,gap — no grants inspection exists,,2026-08-11
CONN-R7,rule,browser walk,,gap — fields exist on the Data Source table but the generic form shows them flat,,2026-08-11
CONN-R8,rule,api + browser,,"gap — conn_status/last_checked_at are stamped today, but no failing-since, failing phase, affected-tables count, or re-test surface",,2026-08-11
CONN-I1,invariant,properties,,gap — holds trivially today only because no password is ever stored,,2026-08-11
CONN-I2,invariant,api,,gap — asserted once R6 exists,,2026-08-11
CONN-H1,hazard,decision,,open — mitigation is the standing owner rule (no real sources on public-login instances); UI notice not built,,2026-08-11
CONN-H2,hazard,decision,,open — awaiting Q1,,2026-08-11
Q1,question,decision,,open — arbiter Siraj,,2026-08-11
Q2,question,decision,,open — arbiter Siraj,,2026-08-11
Q3,question,decision,,open — arbiter Siraj,,2026-08-11
