id,shape,strategy,static_link,verdict,issue,stamped
DEL-J1,sequence,browser walk,apps/web/e2e/table-deletion.spec.ts,"proven — full walk incl. cancel branch, system-table affordance absence, and the J1.4 tombstone; self-cleaning, no skip path",,2026-08-05
DEL-J2,sequence,browser walk,apps/web/e2e/table-deletion.spec.ts,"proven — refusal named in the dialog, unblock via API, retry succeeds",,2026-08-04
DEL-R1,contract,api + browser,"apps/server/test/table-deletion.test.ts; apps/web/e2e/table-deletion.spec.ts","conditionally-proven — 403 whole-request and manager affordance proven; affordance ABSENCE witnessed for system tables only, not yet for a signed-in non-manager",,2026-08-04
DEL-R2,contract,api,apps/server/test/table-deletion.test.ts,"proven — def+columns+physical+child rows go, child Table stays; settings metadata-only; nonexistent 404s",,2026-08-04
DEL-R3,rule,api + examples,apps/server/test/table-deletion.test.ts,"proven — Reference and row_table block naming Y.column (zero rows included); self-reference deletable; system tables refused",,2026-08-04
DEL-R4,rule,api + examples,"apps/server/test/table-deletion.test.ts; apps/web/e2e/table-deletion.spec.ts","proven — Permission/Import Log/home-page link swept; Access Log text survives (R8 test); property loop over every declared Reference→Table column",,2026-08-04
DEL-R5,rule,api,apps/server/test/table-deletion.test.ts,"proven — recreate same name, ids continue past the first run's",,2026-08-04
DEL-R6,contract,api,apps/server/test/table-deletion.test.ts,"proven — csv-folder binding dropped, source file byte-identical",,2026-08-04
DEL-R7,rule,api,apps/server/test/table-deletion.test.ts,"proven — registry rows swept and the stored URL serves 404",,2026-08-04
DEL-R8,contract,api,apps/server/test/table-deletion.test.ts,"proven — delete_table Access Log line present after the sweep",,2026-08-04
DEL-R9,contract,api + browser,"apps/server/test/table-deletion.test.ts; apps/web/e2e/table-deletion.spec.ts","proven — deleted names who+when, never-created stays plain, double burial answers once; witnessed in the browser at J1.4",,2026-08-05
DEL-I1,invariant,reconciliation,apps/server/test/table-deletion.test.ts,"proven — zero dangling rows across every declared pointer column; zero column_def rows; no physical table",,2026-08-04
DEL-I2,invariant,reconciliation,"apps/server/test/table-deletion.test.ts; apps/web/e2e/table-deletion.spec.ts","proven — counts identical after a blocked delete; UI cancel branch leaves the list untouched",,2026-08-04
DEL-H1,hazard,decision,,"open — mitigations built and witnessed (R1 gate, counted confirm, R8 trail); residual risk accepted until first deployment",,2026-08-04
Q1,question,decision,,open — typed-name confirmation for populated tables,,2026-08-04
Q2,question,decision,,graduated — decided by the arbiter 2026-08-04 → DEL-R9 (tombstone messaging),,2026-08-05
Q3,question,decision,,open — archive/inactive semantics as a separate capability beside hard delete,,2026-08-04
